pcode,year,month,rainfall_mm,rainfall_historic_avg_mm,rainfall_anomaly_pct,rice_price_usd_per_kg,flour_price_usd_per_kg,oil_price_usd_per_l,lentils_price_usd_per_kg,avg_food_price_usd_per_kg,debt_service_total_usd,debt_stock_pct_gni,debt_stock_total_usd,date
BD30,2011,8,510.13952,312.475324,63.25753773760388,0.44820000000000004,0.31105000000000005,1.34,1.04,0.7848125,1528366924.7,19.4870042621521,27046084648.2,2011-08-01
BD30,2011,9,214.54144,295.97136,-27.512770154517657,0.4525,0.35050000000000003,1.33,1.02,0.711,1528366924.7,19.4870042621521,27046084648.2,2011-09-01
BD30,2011,10,53.179558,175.530435,-69.7035115306357,0.43053333333333327,0.3549,1.28,1.0,0.7663583333333333,1528366924.7,19.4870042621521,27046084648.2,2011-10-01
BD30,2011,11,4.8687846,20.8823211,-76.68465791381783,0.4247666666666667,0.37156666666666666,1.19,0.95,0.7340833333333333,1528366924.7,19.4870042621521,27046084648.2,2011-11-01
BD30,2011,12,2.94060766,5.7807091,-49.13067568129315,0.42615,0.34695,1.2,0.93,0.725775,1528366924.7,19.4870042621521,27046084648.2,2011-12-01
BD30,2012,1,16.7914361,8.2614182,103.25125412486685,0.3501,0.32745,1.18,0.9,0.6893875,1675995387.4,20.1641903015642,29155976742.1,2012-01-01
BD30,2012,2,9.2941992,17.3417128,-46.40552921623751,0.35956666666666665,0.35609999999999997,1.18,0.91,0.6318888888888888,1675995387.4,20.1641903015642,29155976742.1,2012-02-01
BD30,2012,3,23.232044300000002,58.271454000000006,-60.131346130474114,0.365275,0.3993,1.25,0.92,0.7336437499999999,1675995387.4,20.1641903015642,29155976742.1,2012-03-01
BD30,2012,4,203.371544,147.64738,37.741383558583976,0.364575,0.41000000000000003,1.29,0.92,0.74614375,1675995387.4,20.1641903015642,29155976742.1,2012-04-01
BD30,2012,5,144.883979,281.64775,-48.558446144164115,0.33995,0.3643,1.27,0.9750000000000001,0.352125,1675995387.4,20.1641903015642,29155976742.1,2012-05-01
BD30,2012,6,288.21271,335.33771,-14.05299749914795,0.3359,0.3592666666666666,1.25,1.03,0.7437916666666666,1675995387.4,20.1641903015642,29155976742.1,2012-06-01
BD30,2012,7,344.29282,383.96551,-10.332357716191746,0.33918,0.30820000000000003,1.25,1.06,0.739345,1675995387.4,20.1641903015642,29155976742.1,2012-07-01
BD30,2012,8,311.548355,312.475324,-0.29665350471001845,0.33836,0.41,1.24,1.09,0.76959,1675995387.4,20.1641903015642,29155976742.1,2012-08-01
BD30,2012,9,247.675412,295.97136,-16.317777503877405,0.33316,0.39530000000000004,1.2,1.105,0.36423000000000005,1675995387.4,20.1641903015642,29155976742.1,2012-09-01
BD30,2012,10,169.26934400000002,175.530435,-3.5669546423672873,0.3349,0.4031666666666667,1.16,1.12,0.7545166666666667,1675995387.4,20.1641903015642,29155976742.1,2012-10-01
BD30,2012,11,39.1629828,20.8823211,87.5413303552736,0.34464,0.41,1.09,1.13,0.74366,1675995387.4,20.1641903015642,29155976742.1,2012-11-01
BD30,2012,12,3.6256904999999997,5.7807091,-37.27948531435357,0.36333333333333334,0.4205,1.11,1.15,0.7609583333333334,1675995387.4,20.1641903015642,29155976742.1,2012-12-01
BD30,2013,1,5.5911602,8.2614182,-32.32202916443571,0.37666666666666665,0.42,1.1,1.16,0.7641666666666667,1941041755.6,20.0259278722599,32454687016.8,2013-01-01
BD30,2013,2,13.0000001,17.3417128,-25.036239211619282,0.40428,0.41690000000000005,1.0866666666666667,1.2,0.6737266666666667,1941041755.6,20.0259278722599,32454687016.8,2013-02-01
BD30,2013,3,32.86326,58.271454000000006,-43.603157731399676,0.42483333333333334,0.4402,1.0733333333333335,1.18,0.6816777777777778,1941041755.6,20.0259278722599,32454687016.8,2013-03-01
BD30,2013,4,95.755526,147.64738,-35.14580075853699,0.47,0.4359,1.06,1.1666666666666665,0.45294999999999996,1941041755.6,20.0259278722599,32454687016.8,2013-04-01
BD30,2013,5,408.12015599999995,281.64775,44.9044616901786,0.38172500000000004,0.41565,1.0466666666666666,1.1533333333333333,0.39868750000000003,1941041755.6,20.0259278722599,32454687016.8,2013-05-01
BD30,2013,6,328.425424,335.33771,-2.061290989313428,0.40246000000000004,0.41886666666666666,1.0333333333333334,1.14,0.6537755555555556,1941041755.6,20.0259278722599,32454687016.8,2013-06-01
BD30,2013,7,243.68921999999998,383.96551,-36.53356521527155,0.43115,0.386,1.02,1.1199999999999999,0.6123833333333334,1941041755.6,20.0259278722599,32454687016.8,2013-07-01
BD30,2013,8,270.11741,312.475324,-13.555602873780842,0.4377,0.41486666666666666,1.01,1.1,0.6208555555555556,1941041755.6,20.0259278722599,32454687016.8,2013-08-01
BD30,2013,9,251.878465,295.97136,-14.897689762955443,0.42635,0.4030666666666667,0.99,1.08,0.7248541666666667,1941041755.6,20.0259278722599,32454687016.8,2013-09-01
BD30,2013,10,179.107737,175.530435,2.0379952912439228,0.45603333333333335,0.32799999999999996,1.0,1.04,0.7060083333333333,1941041755.6,20.0259278722599,32454687016.8,2013-10-01
BD30,2013,11,5.2941989,20.8823211,-74.64745956808413,0.457325,0.3593,1.005,1.03,0.40831249999999997,1941041755.6,20.0259278722599,32454687016.8,2013-11-01
BD30,2013,12,5.4240332,5.7807091,-6.170106362902779,0.442525,0.4222666666666666,1.01,1.02,0.6249305555555555,1941041755.6,20.0259278722599,32454687016.8,2013-12-01
BD30,2014,1,5.3549725,8.2614182,-35.18095355589189,0.44862,0.40565,0.98,1.01,0.6114233333333333,2032918904.5,19.1263744321957,35270692354.7,2014-01-01
BD30,2014,2,14.0303866,17.3417128,-19.094574095356947,0.45606,0.45999999999999996,0.99,1.0,0.6353533333333333,2032918904.5,19.1263744321957,35270692354.7,2014-02-01
BD30,2014,3,44.002762,58.271454000000006,-24.48658995191712,0.43306000000000006,0.4,1.0,0.99,0.705765,2032918904.5,19.1263744321957,35270692354.7,2014-03-01
BD30,2014,4,71.883978,147.64738,-51.31374630555584,0.45262857142857144,0.43,1.04,1.005,0.4413142857142857,2032918904.5,19.1263744321957,35270692354.7,2014-04-01
BD30,2014,5,238.560772,281.64775,-15.298179374768658,0.4378666666666667,0.45499999999999996,1.08,1.02,0.7482166666666668,2032918904.5,19.1263744321957,35270692354.7,2014-05-01
BD30,2014,6,382.37293,335.33771,14.026224488740016,0.4488,0.3249,1.08,1.036,0.6179,2032918904.5,19.1263744321957,35270692354.7,2014-06-01
BD30,2014,7,280.078735,383.96551,-27.05627778911705,0.44016,0.36329999999999996,1.06,1.052,0.6211533333333333,2032918904.5,19.1263744321957,35270692354.7,2014-07-01
BD30,2014,8,352.43095,312.475324,12.786810007435978,0.4602333333333333,0.40103333333333335,1.02,1.068,0.6270888888888889,2032918904.5,19.1263744321957,35270692354.7,2014-08-01
BD30,2014,9,283.27209700000003,295.97136,-4.290706708919394,0.4426,0.3631,0.99,1.084,0.40285,2032918904.5,19.1263744321957,35270692354.7,2014-09-01
BD30,2014,10,85.946134,175.530435,-51.03633509482274,0.451475,0.43,0.9600000000000001,1.1,0.6604916666666667,2032918904.5,19.1263744321957,35270692354.7,2014-10-01
BD30,2014,11,5.3908839,20.8823211,-74.18446027055872,0.4647333333333334,0.36114999999999997,0.93,1.12,0.7189708333333333,2032918904.5,19.1263744321957,35270692354.7,2014-11-01
BD30,2014,12,3.8577348,5.7807091,-33.26537050618929,0.4387142857142857,0.3634,0.93,1.11,0.6373714285714286,2032918904.5,19.1263744321957,35270692354.7,2014-12-01
BD30,2015,1,7.009668400000001,8.2614182,-15.151754453006616,0.4462,0.3797,0.93,1.15,0.726475,1755769691.8,18.656464728563,38770937144.2,2015-01-01
BD30,2015,2,25.0980663,17.3417128,44.72657106857403,0.4288166666666667,0.37634999999999996,0.9,1.16,0.7162916666666665,1755769691.8,18.656464728563,38770937144.2,2015-02-01
BD30,2015,3,43.585635499999995,58.271454000000006,-25.20242329975155,0.40582,0.3725,0.89,1.15,0.70458,1755769691.8,18.656464728563,38770937144.2,2015-03-01
BD30,2015,4,203.41989,147.64738,37.774127790144334,0.4082666666666667,0.3909,0.86,1.165,0.5530555555555555,1755769691.8,18.656464728563,38770937144.2,2015-04-01
BD30,2015,5,210.85220599999997,281.64775,-25.1362008040185,0.41529999999999995,0.33975,0.85,1.18,0.6962625,1755769691.8,18.656464728563,38770937144.2,2015-05-01
BD30,2015,6,337.779,335.33771,0.7280093849272069,0.39386666666666664,0.33445,0.85,1.2166666666666666,0.5261055555555556,1755769691.8,18.656464728563,38770937144.2,2015-06-01
BD30,2015,7,597.70028,383.96551,55.66509606552944,0.39938,0.35980000000000006,0.844,1.2533333333333334,0.37959000000000004,1755769691.8,18.656464728563,38770937144.2,2015-07-01
BD30,2015,8,347.754145,312.475324,11.290114223547455,0.38885000000000003,0.35906666666666665,0.838,1.29,0.6793055555555556,1755769691.8,18.656464728563,38770937144.2,2015-08-01
BD30,2015,9,264.925415,295.97136,-10.489509863386788,0.37725000000000003,0.31945,0.832,1.3,0.6655666666666668,1755769691.8,18.656464728563,38770937144.2,2015-09-01
BD30,2015,10,113.459942,175.530435,-35.36166990072121,0.38365000000000005,0.32630000000000003,0.826,1.27,0.6599833333333334,1755769691.8,18.656464728563,38770937144.2,2015-10-01
BD30,2015,11,9.219612999999999,20.8823211,-55.84967324345952,0.37,0.35799999999999993,0.82,1.27,0.516,1755769691.8,18.656464728563,38770937144.2,2015-11-01
BD30,2015,12,4.9986188,5.7807091,-13.529314249699922,0.3745142857142857,0.3551666666666667,0.81,1.27,0.7024202380952381,1755769691.8,18.656464728563,38770937144.2,2015-12-01
BD30,2016,1,6.986188,8.2614182,-15.435971998124964,0.380775,0.35175,0.8,1.2883333333333333,0.5108416666666667,1858017034.6,14.9717904789002,41569252897.7,2016-01-01
BD30,2016,2,24.2831488,17.3417128,40.027395679162666,0.37625,0.3453333333333333,0.8,1.3066666666666666,0.5071944444444444,1858017034.6,14.9717904789002,41569252897.7,2016-02-01
BD30,2016,3,77.41989000000001,58.271454000000006,32.86074859226956,0.35842857142857143,0.29155,0.8166666666666667,1.325,0.3249892857142857,1858017034.6,14.9717904789002,41569252897.7,2016-03-01
BD30,2016,4,105.274861,147.64738,-28.698456416903568,0.3617,0.3318666666666667,0.8333333333333334,1.3433333333333333,0.34678333333333333,1858017034.6,14.9717904789002,41569252897.7,2016-04-01
BD30,2016,5,344.979285,281.64775,22.486078798783247,0.3419,0.2872,0.85,1.3616666666666666,0.49303333333333327,1858017034.6,14.9717904789002,41569252897.7,2016-05-01
BD30,2016,6,249.16160000000002,335.33771,-25.698305746764955,0.3735,0.27825,0.85,1.38,0.7204375,1858017034.6,14.9717904789002,41569252897.7,2016-06-01
BD30,2016,7,392.174036,383.96551,2.137828994067724,0.3770666666666667,0.3204,0.8733333333333333,1.38,0.6924888888888888,1858017034.6,14.9717904789002,41569252897.7,2016-07-01
BD30,2016,8,311.68233,312.475324,-0.2537781191323836,0.41238,0.31,0.8966666666666667,1.37,0.6974600000000001,1858017034.6,14.9717904789002,41569252897.7,2016-08-01
BD30,2016,9,216.94061,295.97136,-26.702161317230157,0.4539166666666667,0.28890000000000005,0.92,1.34,0.7507041666666667,1858017034.6,14.9717904789002,41569252897.7,2016-09-01
BD30,2016,10,105.827348,175.530435,-39.70997223359015,0.4854333333333334,0.2883,0.93,1.315,0.5679111111111111,1858017034.6,14.9717904789002,41569252897.7,2016-10-01
BD30,2016,11,68.12983200000001,20.8823211,226.25603099264677,0.47911666666666664,0.32946666666666663,0.92,1.29,0.7546458333333333,1858017034.6,14.9717904789002,41569252897.7,2016-11-01
BD30,2016,12,3.87983434,5.7807091,-32.88307242445395,0.45977500000000004,0.3237333333333334,0.935,1.24,0.6745027777777778,1858017034.6,14.9717904789002,41569252897.7,2016-12-01
BD30,2017,1,5.3701658000000005,8.2614182,-34.99704687507526,0.46555,0.31,0.95,1.24,0.7413875,2277943607.4,16.8057450414319,51068283464.6,2017-01-01
BD30,2017,2,7.2292817,17.3417128,-58.31275847216199,0.4699666666666667,0.28225,0.97,1.2,0.7305541666666666,2277943607.4,16.8057450414319,51068283464.6,2017-02-01
BD30,2017,3,105.18784600000001,58.271454000000006,80.51350838096471,0.4689,0.3,0.95,1.12,0.7097249999999999,2277943607.4,16.8057450414319,51068283464.6,2017-03-01
BD30,2017,4,258.646417,147.64738,75.17846710182056,0.49438333333333334,0.3141333333333333,0.93,1.07,0.7021291666666667,2277943607.4,16.8057450414319,51068283464.6,2017-04-01
BD30,2017,5,297.95304,281.64775,5.789249159632916,0.56,0.3,0.91,1.13,0.59,2277943607.4,16.8057450414319,51068283464.6,2017-05-01
BD30,2017,6,417.585636,335.33771,24.526894395503568,0.5800000000000001,0.3106333333333333,0.91,1.19,0.7476583333333333,2277943607.4,16.8057450414319,51068283464.6,2017-06-01
BD30,2017,7,561.12292,383.96551,46.138886276530414,0.556425,0.3101333333333333,0.91,1.1066666666666667,0.5921861111111112,2277943607.4,16.8057450414319,51068283464.6,2017-07-01
